# Num Reqs, Num Nums, Median Time/Succ Req (ms), Median Time/Fail Req (ms), Reqs/Sec, Num Succ Reqs, Num Fail Reqs,
# actix-rust
2500,53,13974.092,11623.267,30223.764,81.804,11471,1029,0/0
2500,88,10687.587,10924.500,8714.451,99.437,8386,4114,0/0


# ratpack-kotlin
100,444,1255.267,1255.267,0,27.956,500,0,0/0
100,1333,3208.288,3208.288,0,20.351,500,0,0/0
100,2222,4186.832,4186.832,0,15.264,500,0,0/0
500,88,2505.131,2505.131,0,84.668,2500,0,0/0
500,266,4781.174,4781.174,0,57.065,2500,0,0/0
500,444,4597.453,4597.453,0,57.901,2500,0,0/0
1000,44,6069.704,6069.704,0,70.272,5000,0,0/0
1000,133,5058.165,5058.165,0,102.283,5000,0,0/0
1000,222,5259.561,5259.561,0,87.521,5000,0,0/0
1500,29,7966.823,6983.573,8492.649,45.369,6022,1478,0/0
1500,88,7143.767,7116.558,30000.623,83.134,7449,51,0/0
1500,148,7854.811,7514.127,8482.586,89.671,6420,1080,0/0
2500,17,8718.724,8433.665,8750.529,134.021,9566,2934,0/0
2500,53,10078.265,10061.986,30274.285,106.879,12418,82,0/0
2500,88,10411.102,10408.824,30312.393,103.830,12488,12,0/0


# vertx-kotlin
100,444,721.630,721.630,0,33.307,500,0,0/0
100,1333,2438.260,2438.260,0,12.693,500,0,0/0
100,2222,2295.225,2295.225,0,21.919,500,0,0/0
500,88,1235.328,1235.328,0,124.322,2500,0,0/0
500,266,2934.722,2934.722,0,93.507,2500,0,0/0
500,444,4680.469,4680.469,0,68.101,2500,0,0/0
1000,44,3053.526,3053.526,0,117.727,5000,0,0/0
1000,133,3822.919,3822.919,0,142.337,5000,0,0/0
1000,222,3154.716,3154.716,0,109.854,5000,0,0/0
1500,29,3409.273,3409.273,0,230.599,7500,0,0/0
1500,88,4639.404,4639.404,0,206.521,7500,0,0/0
1500,148,3345.812,3345.812,0,172.664,7500,0,0/0
2500,17,3288.209,3288.209,0,308.611,12500,0,0/0
2500,53,6439.951,6435.570,8698.633,225.229,12474,26,0/0
2500,88,4979.913,4979.913,0,184.870,12500,0,0/0


# phoenix_elixir
100,444,999.907,999.907,0,25.736,500,0,0/0
100,1333,1944.204,1944.204,0,16.094,500,0,0/0
100,2222,2597.538,2597.538,0,13.265,500,0,0/0
500,88,766.638,766.638,0,137.756,2500,0,0/0
500,266,1537.214,1537.214,0,92.054,2500,0,0/0
500,444,2367.117,2367.117,0,79.342,2500,0,0/0
1000,44,1458.620,1458.620,0,192.812,5000,0,0/0
1000,133,2338.256,2338.256,0,194.492,5000,0,0/0
1000,222,3293.405,3293.405,0,82.791,5000,0,0/0
1500,29,2408.077,2408.077,0,199.526,7500,0,0/0
1500,88,2431.520,2431.520,0,122.633,7500,0,0/0
1500,148,3799.244,3799.244,0,181.545,7500,0,0/0
2500,17,2811.504,2811.504,0,212.116,12500,0,0/0
2500,53,3441.804,3408.347,30002.999,173.404,12366,134,0/0
2500,88,4584.760,4571.195,30202.091,87.248,12454,46,0/0


# trot_elixir
100,444,996.543,996.543,0,28.984,500,0,0/0
100,1333,1141.387,1141.387,0,28.663,500,0,0/0
100,2222,1986.155,1986.155,0,16.229,500,0,0/0
500,88,1431.564,1431.564,0,92.572,2500,0,0/0
500,266,1126.968,1126.968,0,132.556,2500,0,0/0
500,444,1467.334,1467.334,0,87.462,2500,0,0/0
1000,44,1248.361,1248.361,0,210.580,5000,0,0/0
1000,133,1766.889,1766.889,0,197.021,5000,0,0/0
1000,222,2303.443,2303.443,0,149.178,5000,0,0/0
1500,29,2333.432,2333.432,0,221.867,7500,0,0/0
1500,88,2429.717,2429.717,0,205.756,7500,0,0/0
1500,148,2955.046,2955.046,0,198.702,7500,0,0/0
2500,17,2098.467,2098.467,0,361.502,12500,0,0/0
2500,53,2834.968,2834.968,0,289.701,12500,0,0/0
2500,88,3551.304,3551.304,0,195.823,12500,0,0/0


# flask+uwsgi-python3
100,444,309.745,244.885,1014.726,51.557,425,75,0/0
100,1333,1018.044,466.344,1112.990,27.086,329,171,0/0
100,2222,501.736,464.161,1049.207,33.474,354,146,0/0
500,88,1294.082,1198.123,1525.249,108.043,1527,973,0/0
500,266,1256.595,1159.984,1539.131,107.541,1528,972,0/0
500,444,1629.015,1648.042,1588.217,77.570,2026,474,0/0
1000,44,1826.236,1902.593,1356.145,48.284,4525,475,0/0
1000,133,2197.515,2197.919,2196.325,65.940,4026,974,0/0
1000,222,2748.264,2740.406,2822.159,25.405,4425,575,0/0
1500,29,3785.573,2718.439,12963.423,27.580,6056,1444,0/0
1500,88,3598.330,3565.774,3652.015,39.044,6772,728,0/0
1500,148,3249.230,3020.130,3557.888,85.958,6004,1496,0/0
2500,17,5405.459,4615.586,6895.578,176.148,9925,2575,0/0
2500,53,7594.290,6184.608,13137.958,34.130,10855,1645,0/0
2500,88,7741.552,6047.655,62096.260,36.511,10324,2176,0/0


# tornado-python3
100,444,1002.735,1002.735,0,27.299,500,0,0/0
100,1333,1088.615,1088.615,0,25.103,500,0,0/0
100,2222,996.420,996.420,0,28.433,500,0,0/0
500,88,1560.276,1560.276,0,112.780,2500,0,0/0
500,266,2117.593,2117.593,0,87.129,2500,0,0/0
500,444,2444.374,2444.374,0,72.250,2500,0,0/0
1000,44,4501.597,4296.542,8357.645,111.774,4600,400,0/0
1000,133,5030.597,5030.597,0,89.127,5000,0,0/0
1000,222,4351.149,4351.149,0,80.824,5000,0,0/0
1500,29,6760.757,5672.014,8488.452,130.007,6450,1050,0/0
1500,88,4681.159,4681.159,0,86.781,7500,0,0/0
1500,148,7584.651,7489.669,8466.922,78.708,7431,69,0/0
2500,17,8741.093,9300.743,8727.474,112.545,10674,1826,0/0
2500,53,12138.312,11304.188,30130.889,49.310,11371,1129,0/0
2500,88,10735.466,10457.005,30128.099,83.351,12158,342,0/0


# cowboy-erlang
100,444,1230.820,1230.820,0,20.607,500,0,0/0
100,1333,1997.895,1997.895,0,14.861,500,0,0/0
100,2222,7788.550,9989.477,6247.160,8.775,378,122,0/0
500,88,1223.447,1223.447,0,72.882,2500,0,0/0
500,266,1954.050,1954.050,0,81.135,2500,0,0/0
500,444,6090.654,6090.654,0,35.463,2500,0,0/0
1000,44,7797.168,7373.488,8365.201,66.157,3973,1027,0/0
1000,133,9330.229,9053.417,30000.522,40.481,4726,274,0/0
1000,222,5020.263,4940.807,13886.048,45.195,4986,14,0/0
1500,29,13427.015,14799.999,8455.990,50.163,5527,1973,0/0
1500,88,12439.740,9873.620,30004.293,51.883,5501,1999,0/0
1500,148,8248.056,8239.218,12374.215,58.800,7489,11,0/0
2500,17,8702.611,24467.361,8667.765,74.665,7164,5336,0/0
2500,53,8697.377,7583.359,8702.932,101.489,3555,8945,0/0
2500,88,20104.064,19730.784,30000.693,82.546,6998,5502,0/0


