# Num Reqs, Num Nums, Min Time/Req (ms), Mean Time/Req (ms), Median Time/Req (ms), Max Time/Req (ms), Min Requests/Sec, Mean Requests/Sec, Median Requests/Sec, Max Requests/Sec, Num Serviced Requests
# actix-rust
2500,53,0.951,2.494,1.369,489.901,2.041,400.896,730.727,1051.525,12500
2500,88,1.500,3.414,2.472,56.796,17.607,292.894,404.531,666.667,11049


# micronaut-kotlin
100,444,7.160,38.670,10.352,441.575,2.265,25.860,96.600,139.665,500
100,1333,21.150,114.836,74.825,1259.109,0.794,8.708,13.365,47.281,500
100,2222,35.291,593.584,288.872,2920.568,0.342,1.685,3.462,28.336,500
500,88,1.591,5.833,1.956,280.240,3.568,171.446,511.247,628.536,2500
500,266,4.262,14.047,4.881,350.948,2.849,71.188,204.876,234.632,2500
500,444,7.141,44.752,27.612,577.787,1.731,22.345,36.215,140.036,2500
1000,44,0.834,2.617,1.229,342.058,2.923,382.131,813.670,1199.041,5000
1000,133,2.157,6.280,2.610,446.874,2.238,159.241,383.142,463.607,5000
1000,222,3.636,13.174,4.540,310.499,3.221,75.908,220.264,275.028,4966
1500,29,0.529,1.811,0.918,318.358,3.141,552.160,1089.325,1890.359,6331
1500,88,1.473,4.283,1.922,421.161,2.374,233.493,520.291,678.887,7496
1500,148,2.479,7.766,3.071,308.214,3.244,128.765,325.680,403.388,7500
2500,17,0.333,0.952,0.593,106.950,9.350,1050.067,1686.341,3003.003,11221
2500,53,0.876,2.338,1.229,724.197,1.381,427.749,813.670,1141.553,11471
2500,88,1.429,4.031,1.872,488.647,2.046,248.075,534.188,699.790,10173


# ratpack-kotlin
100,444,7.136,16.222,9.297,80.227,12.465,61.644,107.562,140.135,500
100,1333,20.721,65.902,58.139,235.192,4.252,15.174,17.200,48.260,500
100,2222,35.635,273.318,250.096,702.646,1.423,3.659,3.998,28.062,500
500,88,1.418,2.860,2.045,117.272,8.527,349.668,488.878,705.219,2500
500,266,4.076,9.617,5.137,182.770,5.471,103.988,194.647,245.339,2500
500,444,6.871,17.897,9.145,226.826,4.409,55.875,109.355,145.539,2500
1000,44,0.754,1.607,1.097,250.885,3.986,622.436,911.577,1326.260,5000
1000,133,2.062,4.202,2.792,171.034,5.847,237.963,358.102,484.966,5000
1000,222,3.410,9.147,4.457,214.185,4.669,109.321,224.391,293.255,5000
1500,29,0.519,1.142,0.791,32.006,31.244,875.319,1264.223,1926.782,7500
1500,88,1.426,3.031,1.934,177.768,5.625,329.871,517.063,701.262,7500
1500,148,2.284,4.779,3.046,177.723,5.627,209.238,328.299,437.828,7239
2500,17,0.334,0.851,0.550,399.768,2.501,1174.427,1818.182,2994.012,11897
2500,53,0.872,1.834,1.141,345.827,2.892,545.136,876.424,1146.789,12418
2500,88,1.408,3.047,1.813,245.415,4.075,328.161,551.572,710.227,12500


# vertx-kotlin
100,444,7.694,14.971,9.398,80.491,12.424,66.797,106.406,129.971,500
100,1333,22.138,38.941,35.663,140.539,7.115,25.680,28.040,45.171,500
100,2222,36.658,66.348,57.950,162.650,6.148,15.072,17.256,27.279,500
500,88,1.501,3.334,2.290,55.480,18.025,299.910,436.681,666.223,2500
500,266,4.293,8.402,5.283,71.020,14.081,119.026,189.286,232.937,2500
500,444,7.042,12.531,8.402,77.624,12.883,79.803,119.012,142.005,2500
