# Service Impl,Client Impl, Num Reqs, Num Nums, Min Time/Succ Req (ms), Median Time/Succ Req (ms), Max Time/Succ Req (ms), Min Time/Fail Req (ms), Median Time/Fail Req (ms), Max Time/Fail Req (ms), Min Time/Req (ms),  Median Time/Req (ms), Max Time/Req (ms)

go-server,go-client,1500,88,29.601,443.680,3309.180,0.000,0.000,0.000,29.601,443.680,3309.180
go-server,go-client,1500,148,14.288,471.065,3527.533,0.000,0.000,0.000,14.288,471.065,3527.533
go-server,go-client,2500,17,31.604,626.916,3593.191,0.000,0.000,0.000,31.604,626.916,3593.191
go-server,go-client,2500,53,4.390,732.260,5245.478,0.000,0.000,0.000,4.390,732.260,5245.478
go-server,go-client,2500,88,15.204,726.184,3628.208,0.000,0.000,0.000,15.204,726.184,3628.208


go-server,httpoison_elixir,100,444,245.555,286.299,344.054,0.000,0.000,0.000,245.555,286.299,344.054
go-server,httpoison_elixir,100,1333,241.334,349.806,436.142,0.000,0.000,0.000,241.334,349.806,436.142
go-server,httpoison_elixir,100,2222,243.304,421.891,1004.197,0.000,0.000,0.000,243.304,421.891,1004.197
go-server,httpoison_elixir,500,88,308.264,409.892,533.017,0.000,0.000,0.000,308.264,409.892,533.017
go-server,httpoison_elixir,500,266,304.117,494.864,955.226,0.000,0.000,0.000,304.117,494.864,955.226
go-server,httpoison_elixir,500,444,318.726,499.149,793.097,0.000,0.000,0.000,318.726,499.149,793.097
go-server,httpoison_elixir,1000,44,399.925,622.361,861.771,0.000,0.000,0.000,399.925,622.361,861.771
go-server,httpoison_elixir,1000,133,395.340,596.522,909.029,0.000,0.000,0.000,395.340,596.522,909.029
go-server,httpoison_elixir,1000,222,404.590,692.039,1245.349,0.000,0.000,0.000,404.590,692.039,1245.349
go-server,httpoison_elixir,1500,29,436.720,822.630,1352.264,0.000,0.000,0.000,436.720,822.630,1352.264
go-server,httpoison_elixir,1500,88,505.908,855.236,1248.782,0.000,0.000,0.000,505.908,855.236,1248.782
go-server,httpoison_elixir,1500,148,496.396,916.198,1624.150,0.000,0.000,0.000,496.396,916.198,1624.150
go-server,httpoison_elixir,2500,17,689.263,1251.959,1859.685,0.000,0.000,0.000,689.263,1251.959,1859.685
go-server,httpoison_elixir,2500,53,708.385,1456.894,4882.992,0.000,0.000,0.000,708.385,1456.894,4882.992
go-server,httpoison_elixir,2500,88,699.167,1293.619,1936.238,0.000,0.000,0.000,699.167,1293.619,1936.238


go-server,vertx-kotlin,100,444,889.864,1073.493,1329.633,0.000,0.000,0.000,889.864,1073.493,1329.633
go-server,vertx-kotlin,100,1333,901.641,1113.576,1304.272,0.000,0.000,0.000,901.641,1113.576,1304.272
go-server,vertx-kotlin,100,2222,903.808,1134.586,1399.310,0.000,0.000,0.000,903.808,1134.586,1399.310
